LoopNumber,Date,Time,Latitude1,Longtitude1,Latitude2,Longtitude2,distance,km/s,km/hr,Country,City,LatAccuracy,LongAccuracy
1809,07/05/2022,01:37:48:353395,35.26165716,77.10537573,35.04956866,77.38413455,34.61801287,6.923602573,24924.96926,IN,Thang,0.122168656,0.590774548
1810,07/05/2022,01:37:53:656898,35.02488214,77.41641732,34.81202186,77.693379,34.61066833,6.922133667,24919.6812,IN,Leh,0.646981861,0.109358999
1811,07/05/2022,01:37:58:958663,34.79941875,77.70969957,34.58573987,77.98509981,34.61951672,6.923903344,24926.05204,IN,Leh,0.420699873,0.401079811
1812,07/05/2022,01:38:04:571577,34.57321753,78.00116333,34.35877319,78.27496437,34.62148632,6.924297263,24927.47015,IN,Leh,0.193733188,0.690944371
1813,07/05/2022,01:38:09:870356,34.33287122,78.30787272,34.11767941,78.57993382,34.61528338,6.923056677,24923.00404,IN,Leh,0.047360592,0.995913823
1814,07/05/2022,01:38:15:173666,34.10513948,78.5957146,33.88915356,78.86627453,34.62531578,6.925063157,24930.22736,CN,Rutog,0.470713556,0.772915473
1815,07/05/2022,01:38:20:754228,33.87644108,78.88212629,33.65972303,79.15113428,34.62692786,6.925385572,24931.38806,CN,Rutog,0.241283027,0.488055716
1816,07/05/2022,01:38:26:063358,33.63495684,79.18172959,33.41753077,79.44905919,34.62042448,6.924084897,24926.70563,CN,Rutog,0.000909229,0.19013081
1817,07/05/2022,01:38:31:369667,33.40441805,79.46510914,33.18623253,79.73097633,34.62949969,6.925899939,24933.23978,CN,Rutog,0.232207471,0.09178633
1818,07/05/2022,01:38:37:006125,33.17325413,79.74672069,32.95436855,80.0110825,34.63075199,6.926150397,24934.14143,CN,Lumaka,0.131791446,0.356757495
1819,07/05/2022,01:38:42:313003,32.92690161,80.04410095,32.70733099,80.30682458,34.62453062,6.924906124,24929.66204,CN,Shiquanhe,0.20609099,0.209244577
1820,07/05/2022,01:38:47:618431,32.69418677,80.32248351,32.47387744,80.58380478,34.63497238,6.926994477,24937.18012,CN,Langjiu,0.114397439,0.157004778
1821,07/05/2022,01:38:53:223936,32.46081768,80.59922882,32.23983832,80.85909407,34.63611698,6.927223395,24938.00422,CN,Geji,0.155611681,0.280625929
1822,07/05/2022,01:38:58:519801,32.21348846,80.8899408,31.99186061,81.14822818,34.62963849,6.925927698,24933.33971,CN,Geji,0.403589388,0.00850818
1823,07/05/2022,01:39:03:802832,31.97908246,81.16305705,31.75675268,81.41998465,34.63891112,6.927782225,24940.01601,CN,Geji,0.638697317,0.280264646
1824,07/05/2022,01:39:09:415161,31.74456767,81.43400705,31.52159162,81.68954194,34.64114962,6.928229924,24941.62773,CN,Xagmakajor,0.027191616,0.642858059
1825,07/05/2022,01:39:14:714893,31.49470416,81.72022022,31.2711131,81.974223,34.63396558,6.926793116,24936.45522,CN,Xagmakajor,0.223286897,0.358177001
1826,07/05/2022,01:39:19:996038,31.25804803,81.9890042,31.03377219,82.2417044,34.64467792,6.928935583,24944.1681,CN,Xagmakajor,0.460627814,0.090695599
1827,07/05/2022,01:39:25:606464,31.02157157,82.25539562,30.79668355,82.50674405,34.64584214,6.929168428,24945.00634,CN,Xagmakajor,0.697716455,0.174344045
1828,07/05/2022,01:39:30:898614,30.76965677,82.53682215,30.54418636,82.78668712,34.63809937,6.927619874,24939.43155,CN,Xagmakajor,0.950213644,0.45428712
1829,07/05/2022,01:39:36:204295,30.53135303,82.80085237,30.30522917,83.04945861,34.64810857,6.929621714,24946.63817,CN,Zhadong,0.655229168,1.117211386
1830,07/05/2022,01:39:41:827937,30.29181317,83.06415027,30.06509686,83.31145031,34.64982161,6.929964322,24947.87156,CN,Zhadong,0.415096861,0.855219692
1831,07/05/2022,01:39:47:128117,30.0372485,83.34170123,29.80997224,83.58757036,34.64267672,6.928535345,24942.72724,CN,Zhadong,0.159972244,0.579099643
1832,07/05/2022,01:39:52:419916,29.79666812,83.60190725,29.56876404,83.84656049,34.65246175,6.93049235,24949.77246,CN,Zhadong,0.081235963,0.320109513
1833,07/05/2022,01:39:58:048208,29.55588184,83.86033662,29.32741548,84.10373053,34.65364516,6.930729032,24950.62452,CN,Zhadong,0.322584516,0.062939473
1834,07/05/2022,01:40:03:346764,29.29913514,84.13373758,29.07012987,84.37575582,34.64730082,6.929460165,24946.05659,NP,Nawal,0.421819874,0.272965816
1835,07/05/2022,01:40:08:654281,29.05680438,84.38978579,28.82719339,84.63063663,34.65742379,6.931484758,24953.34513,NP,Chame,0.273503387,0.379666626
1836,07/05/2022,01:40:14:263607,28.81349649,84.64495068,28.58334986,84.88458082,34.65801382,6.931602764,24953.76995,CN,Zongga,0.416650145,0.365419176
1837,07/05/2022,01:40:19:568371,28.5557346,84.9132224,28.32507726,85.15153056,34.65159636,6.930319271,24949.14938,NP,Kathmandu,0.623387264,0.169069442
1838,07/05/2022,01:40:24:877361,28.31137001,85.16564104,28.08013454,85.40282032,34.66098433,6.932196865,24955.90871,NP,Nagarkot,0.36491454,0.117929682
1839,07/05/2022,01:40:30:477708,28.06626699,85.41699317,27.83451441,85.65300213,34.6622962,6.932459241,24956.85327,NP,Nagarkot,0.119294406,0.13225213
1840,07/05/2022,01:40:35:767040,27.80712625,85.68078862,27.57489239,85.91552261,34.65532133,6.931064266,24951.83136,NP,Ramechhap,0.249292389,0.172157386
1841,07/05/2022,01:40:41:074315,27.56180783,85.92870166,27.32901655,86.16235763,34.66519099,6.933038197,24958.93751,NP,Ramechhap,0.003416551,0.074677631
1842,07/05/2022,01:40:46:696968,27.31513368,86.17624357,27.08184604,86.40877638,34.6667995,6.933359901,24960.09564,NP,Lahan,0.352266044,0.086373615
1843,07/05/2022,01:40:51:999461,27.05323974,86.43718615,26.8194945,86.66848538,34.65956333,6.931912666,24954.8856,NP,Lahan,0.089914502,0.173335383
1844,07/05/2022,01:40:57:302738,26.80571056,86.68207869,26.57143129,86.91233766,34.66900608,6.933801215,24961.68437,IN,Birpur,0.063201288,0.099602344
1845,07/05/2022,01:41:02:921364,26.55764577,86.92584102,26.32288739,87.1550265,34.67134433,6.934268865,24963.36791,IN,Forbesganj,0.024317394,0.112073498
1846,07/05/2022,01:41:08:229767,26.29429483,87.18284192,26.05910322,87.41084103,34.66398973,6.932797946,24958.0726,IN,Araria,0.089346783,0.103198968
1847,07/05/2022,01:41:13:534555,26.04495789,87.42450863,25.80925174,87.65150986,34.67357568,6.934715137,24964.97449,IN,Baisi,0.053768262,0.093360136
1848,07/05/2022,01:41:19:147424,25.79531649,87.6648868,25.55915561,87.89085402,34.67540371,6.935080741,24966.29067,IN,Raghunathpur,0.085644388,0.026415983
1849,07/05/2022,01:41:24:448899,25.53066711,87.91802008,25.29409859,88.14284571,34.66765085,6.933530171,24960.70862,IN,Daulatpur,0.031951409,0.187044293
1850,07/05/2022,01:41:29:733933,25.2801967,88.15601555,25.04312961,88.3798911,34.67794913,6.935589825,24968.12337,IN,Ingraj Bazar,0.038659613,0.234161098
1851,07/05/2022,01:41:35:337895,25.03005362,88.39220081,24.7925569,88.61508529,34.6793079,6.93586158,24969.10169,BD,Par Naogaon,0.011623102,0.333664709
1852,07/05/2022,01:41:40:621890,24.76433106,88.6414876,24.52644868,88.86327761,34.67159682,6.934319364,24963.54971,BD,Par Naogaon,0.27773132,0.085472391
